Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video unimedios orgulloun hoy noche 
 rt lacealames2016 if you havent register to lacealames16 just click the link come to learn and inte; j : 1. Sim : 0.021195902; No similar. 
 metacampusun encuentras grandes invitados hablan ciencia tecnologia unparatodos video labelurl  ; j : 2872. Sim : 0.2680828; No similar. 
 rt lluevelove paz dias invitacion interesante miercoles eafit dialogo plural propuesto p  ; j : 2873. Sim : 0.44856772; No similar. 
 rt craiur hoy damos inicio horario extendido sedes claustro quinta mutis 1100pm esperamos labelurl ; j : 2874. Sim : 0.40499434; No similar. 
 rt orgulloun posgrados premiados orgulloun institucionalun labelurl  ; j : 2875. Sim : 0.13784817; No similar. 
 rt eafitpereira quieres estudiar posgrado invitamos conocer oferta academica aqui labelurl labelurl; j : 2876. Sim : 0.1711717; No similar. 
 asi vivio conmemoracion bicentenario reconquista econurosario labelurl labelurl  ; j : 2877. Sim : 0.36141923; No similar. 
 programateun domingo 1100 be auditorioleondegreiff labelurl divcultural labelurl  ; j : 2878. Sim : 0.3466832; No similar. 
 rt politecnicojic directivas universidades encienden luz paz colombia udea iupascualbravo eafit iue; j : 2879. Sim : 0.21273476; No similar. 
 tierras politica agraria siguelo vivo diferentes sedes universidad labelurl labelurl  ; j : 2880. Sim : 0.19417235; No similar. 
 recuerda dias hayrazonesparalapaz posible enmendar errores guerra labelurl uncolombia  ; j : 2881. Sim : 0.3923956; No similar. 
 sinfonia n 2 serguei rajmaninov sonara noche mano sinfonicaeafit sinfonicaant labelurl  ; j : 2882. Sim : 0.418049; No similar. 
 comunidadun preguntas plan global desarrollo envialas balance social 2016 labelurl  ; j : 2883. Sim : 0.19354303; No similar. 
 rt facultadartes boletin 219 facultad artes 7 11 marzo comunidadun labelurl labelurl  ; j : 2884. Sim : 0.31682897; No similar. 
 rt lasabanaabroad estudia idioma exterior esperamos jueves 1200 m salon a108 movilidad2017 unisaban; j : 2885. Sim : 0.28200954; No similar. 
 rt lasabanaabroad conoce becas recursos movilidad internacional unisabana miercoles 12 m salon c106; j : 2886. Sim : 0.22558668; No similar. 
 comunidadun instituto ciencias naturales unbogota video labelurl fcienciasunalco unparatodos  ; j : 2887. Sim : 0.33392167; No similar. 
 areametropol siatamedellin seguira consolidandose instrumento tecnico investigacion gracias contrat; j : 2888. Sim : 0.2972826; No similar. 
 quieres estudiar encuentra aqui informacion necesitas labelurl aspirantesun labelurl  ; j : 2889. Sim : 0.29159218; No similar. 
 noticiaun patent universitarias buscan mas mercado launcuenta labelurl via unimedios labelurl  ; j : 2890. Sim : 0.20853432; No similar. 
 comunidadun recuerda 10 febrero plazo inscribirte cursos libres fceuamf info labelurl  ; j : 2891. Sim : 0.48437402; No similar. 
 dia dia seria igual ustedes felizdiadelamujer gracias diainternacionaldelamujer unisabana labelurl ; j : 2892. Sim : 0.40711588; No similar. 
 hoy 3 enero tendra disponible servicio almuerzo punto verde labelurl  ; j : 2893. Sim : 0.5498151; Baja. 
 rt fliporg lunes 8 mayo hablaremos libertaddeexpresion tal derecho olvido noexiste inscripciones la; j : 2894. Sim : 0.3374587; No similar. 
 noticiaun unpalmira construye propuesta rural posacuerdo vriun via unimedios sedesun labelurl  ; j : 2895. Sim : 0.22691894; No similar. 
 comunidadun cultura respira campus pazun labelurl  ; j : 2896. Sim : 0.25586268; No similar. 
 programateun inauguracion exposicion flujos deseantes museodearteun labelurl labelurl  ; j : 2897. Sim : 0.1723881; No similar. 
 ecosabana abril 25 27 hora cuidar planeta medioambiente reciclaje sostenibilidad labelurl  ; j : 2898. Sim : 0.19818756; No similar. 
 queremos conocer mejor momento 2016 urosario 363motivosparacelebrar labelurl labelurl  ; j : 2899. Sim : 0.2688803; No similar. 
 millennials reclaman mismo generacion pedia atencion escucha gonzalo restrepo labelurl  ; j : 2900. Sim : 0.31753474; No similar. 
 articulo derecho desconectarse rector mantillaignacio elespectador labelurl labelurl  ; j : 2901. Sim : 0.095809855; No similar. 
 sintoniza 985unradio bogota escucha evento dialogosterritoriales representantes colejercito labelur; j : 2902. Sim : 0.18010917; No similar. 
 eafit estrena serie web u3g universidad lugar encuentro generaciones estreno lunes 6 marzo labelurl; j : 2903. Sim : 0.4844826; No similar. 
 asi transcurre claustro ur conmemoracion dia trabajo infantil porlossuenosdelosninos labelurl  ; j : 2904. Sim : 0.39985394; No similar. 
 hola jdavidrojas siguiente link encuentras guia paso paso podras encontrar mas informacion labelurl; j : 2905. Sim : 0.41379973; No similar. 
 participa disfruta filbo2016 encuentra clave labelurl urenfilbo2016 holaholanda labelurl  ; j : 2906. Sim : 0.1603605; No similar. 
 disfruta mejor programacion emisora urosarioradio labelurl labelurl  ; j : 2907. Sim : 0.2537382; No similar. 
 noticiaun colpatria dona nuevos recursos labelurl mantillaignacio via unimedios mejoracontinuaun  ; j : 2908. Sim : 0.2553886; No similar. 
 dia mundial tabaco 2017 poder adictivo cigarrillo comparable heroina labelurl  ; j : 2909. Sim : 0.2413313; No similar. 
 rt dnpcolombia minutos transmision envivo foro smartcities uniandes interviene dir simongaviria lab; j : 2910. Sim : 0.31778345; No similar. 
 conocimiento pasa siempre capaces compartirlo divulgarlo rector jrestrp  ; j : 2911. Sim : 0.10972126; No similar. 
 rt orgulloun beca von humboldt cientifica orgulloun comunidadun labelurl  ; j : 2912. Sim : 0.27081168; No similar. 
 orgulloun uncolombia lider pruebas saber pro labelurl mantillaignacio mineducacion via elespectador; j : 2913. Sim : 0.34131137; No similar. 
 noticiaun 3513 aspirantes posgrados sedes uncolombia labelurl via unimedios labelurl  ; j : 2914. Sim : 0.26037982; No similar. 
 vale reflexionar limite libertad expresion escudo transmision violencia ma jimena d labelurl  ; j : 2915. Sim : 0.23459515; No similar. 
 codigo mas disciplinario debio tener tambien cuenta voz ciudadanos malbarracin labelurl  ; j : 2916. Sim : 0.33475307; No similar. 
 repasamos mas destacado torneo rank tenis mesa urosario labelurl labelurl  ; j : 2917. Sim : 0.224505; No similar. 
 comunidadun sigue tip recuerda conectarte planeta ahorraun feliz jueves unparatodos labelurl  ; j : 2918. Sim : 0.5699538; Baja. 
 rt behrentz seguimos visita uniandes tecdemonterrey experimentando amabilidad generosidad mexicana ; j : 2919. Sim : 0.16428556; No similar. 
 felicitamos todas madres dia felizdiadelamadre labelurl  ; j : 2920. Sim : 0.3088081; No similar. 
 fotogaleria coleccion botanica mas rica pais uncolombia labelurl labelurl  ; j : 2921. Sim : 0.29409185; No similar. 
 hoy fecha limite evaluar profesores recuerda opinion cuenta labelurl labelurl  ; j : 2922. Sim : 0.3406849; No similar. 
 descubre aprender filosofia traves zombies labelurl labelurl  ; j : 2923. Sim : 0.15310828; No similar. 
 pierdas inauguracion cancha squash sede innovacion emprendimiento labelurl  ; j : 2924. Sim : 0.24063121; No similar. 
 movilidad2017 charla informativa miercoles 1200 m salon c106 unisabanainternacional labelurl  ; j : 2925. Sim : 0.38470843; No similar. 
 video musicos uncolombia brillan mundo labelurl facultadartes via unimedios labelurl  ; j : 2926. Sim : 0.33325055; No similar. 
 sabias bus electrico transmilenio evaluado grupo investigacion uncolombia labelurl  ; j : 2927. Sim : 0.34880728; No similar. 
 jornada donacion sangre descubre participar labelurl labelurl  ; j : 2928. Sim : 0.2604219; No similar. 
 universidad nacional colombia patrimonio colombianos video sede amazonia labelurl  ; j : 2929. Sim : 0.21033956; No similar. 
 comsabana alejasolano enlace puedes consultar tutoriales informacion canal soporte  ; j : 2930. Sim : 0.17858322; No similar. 
 llegaron fondossapiencia inscripciones estaran abiertas 13 junio ingresando portal web labelurl  ; j : 2931. Sim : 0.27787694; No similar. 
 hoyeneafit actividades culturales conocer china tradiciones continua fiesta primavera 2017 labelurl; j : 2932. Sim : 0.26185334; No similar. 
 launtransformavidas toda colombia video tumaco futbol pasion documental labelurl labelurl  ; j : 2933. Sim : 0.28428552; No similar. 
 elmimori funcionan mismo horario feliz tarde  ; j : 2934. Sim : 0.5451207; Baja. 
 launtransformavidas toda colombia tumaco futbol pasion documental video labelurl labelurl  ; j : 2935. Sim : 0.28428555; No similar. 
 conozcan fondossapiencia inscripciones estaran abiertas 13 junio ingresando portal web labelurl  ; j : 2936. Sim : 0.30851743; No similar. 
 decide relacionarse texto lector juan felipe cordoba editorialur mediosdigitalesur  ; j : 2937. Sim : 0.277985; No similar. 
 gustaria estudiar pregrado psicologia eafit cupos disponibles 20172 ver labelurl  ; j : 2938. Sim : 0.2340232; No similar. 
 pazun asia africa europa replicarian experiencias posconflicto uncolombia labelurl labelurl  ; j : 2939. Sim : 0.21205917; No similar. 
 noticiaun estudiantes mexicanos aprenden agrotecnologia marengo uachchapingo labelurl labelurl  ; j : 2940. Sim : 0.09847844; No similar. 
 noticiaun unmanizales dia gestion calidad launcuenta labelurl via unimedios labelurl  ; j : 2941. Sim : 0.41618985; No similar. 
 noticiaun colegio iparm primero pruebas saber bogota tercero pais orgulloun labelurl unparatodos  ; j : 2942. Sim : 0.37474105; No similar. 
 rt editorialun trendsun mas 100 titulos listos leer vacaciones lectoresun labelurl labelurl  ; j : 2943. Sim : 0.27815968; No similar. 
 empresauniversidadestado actores fortalecimiento educacion pais yanethgiha foro labelurl  ; j : 2944. Sim : 0.052506138; No similar. 
 rt grupoargos tourtuitero filial cementosargos cuenta equipos alto valor analitico diseno nuevos pr; j : 2945. Sim : 0.139679; No similar. 
 rt villegasalejo inmensa alegria enorme responsabilidad recibir premio juan agustin uricoechea uros; j : 2946. Sim : 0.27330896; No similar. 
 fundamental participacion masiva positiva paz marcoromero lapazenfoco institucionaltv labelurl  ; j : 2947. Sim : 0.206405; No similar. 
 comunidadun conoce cursos facultad ingenieria capacitate info labelurl labelurl  ; j : 2948. Sim : 0.21003969; No similar. 
 medicina urgencias medico rural iii congreso nacional internos labelurl labelurl  ; j : 2949. Sim : 0.13257445; No similar. 
 rt orgulloun mejor idea movilidad sostenible orgulloun comunidadun labelurl  ; j : 2950. Sim : 0.3294305; No similar. 
 grupo acciones publicas urosario preocupacion frente proyecto modifica tutela labelurl labelurl  ; j : 2951. Sim : 0.10974106; No similar. 
 rt grupoargos hoy celebrando apoyo grupoargos centro estudios universidad eafit rodrigo botero labe; j : 2952. Sim : 0.34074765; No similar. 
 gustaria estudiar pregrado negociosinternacionales eafit cupos disponibles 20172 ver labelurl  ; j : 2953. Sim : 0.15210731; No similar. 
 gustaria estudiar pregrado ingenieriadeproduccion eafit cupos disponibles 20172 ver labelurl  ; j : 2954. Sim : 0.22094984; No similar. 
 gustaria estudiar pregrado ingenieriacivil eafit cupos disponibles 20172 ver labelurl  ; j : 2955. Sim : 0.1936562; No similar. 
 gustaria estudiar pregrado cienciaspoliticas eafit cupos disponibles 20172 ver labelurl  ; j : 2956. Sim : 0.24336503; No similar. 
 noticiaun mejor nivel ingles instituciones publicas uncolombia labelurl labelurl  ; j : 2957. Sim : 0.24129401; No similar. 
 rt obsdemocracia atencion antioquia proximo 18 abril obsdemocracia presentara resultados barometroa; j : 2958. Sim : 0.35182777; No similar. 
 orquesta sinfonica eafit emocionara audiencia xiii concierto temporada labelurl labelurl  ; j : 2959. Sim : 0.29085937; No similar. 
 noticiaun visitas comentadas maquinas conocimiento claustrounal museosun labelurl unimedios  ; j : 2960. Sim : 0.31021816; No similar. 
 somosorgulloun continuamente trabajando pais pazun dias labelurl  ; j : 2961. Sim : 0.3691846; No similar. 
 felizmartes conoce ultimo articulo rector ignacio mantilla elespectador labelurl unparatodos  ; j : 2962. Sim : 0.26808134; No similar. 
 cambiaria colombia si firma acuerdo habana labelurl labelurl  ; j : 2963. Sim : 0.22622824; No similar. 
 nuevos amigos actividades deportivas mucha diversion asi matchserpilopaga serpilopaga labelurl  ; j : 2964. Sim : 0.28923053; No similar. 
 aspirantesun sabes programas academicos ofrece uncolombia cada sedes labelurl  ; j : 2965. Sim : 0.27111667; No similar. 
 comunidadun terminamos 2016 satisfaccion haber ustedes deseamos feliz prosper labelurl  ; j : 2966. Sim : 0.28095138; No similar. 
 programateun exposicion escuela errante 1886 2016 facultadartes info labelurl circularun  ; j : 2967. Sim : 0.16477843; No similar. 
 lamartinique gracias inter puedes consultar programacion labelurl rede sociales  ; j : 2968. Sim : 0.17144734; No similar. 
 hoy nueva entrega serie grandes maestros uncolombia via elespectador labelurl labelurl  ; j : 2969. Sim : 0.33596516; No similar. 
 noticiaun lidera produccion cultural artistica manizales unmanizales labelurl via unimedios  ; j : 2970. Sim : 0.27442896; No similar. 
 beethoven copland xvii concierto temporada orquesta sinfonica eafit labelurl  ; j : 2971. Sim : 0.31237447; No similar. 
 rt egobuniandes celebra 10anosegob inscripciones labelurl invitacion exclusiva comunidad egob http ; j : 2972. Sim : 0.2658993; No similar. 
 rt minjusticiaco aestahora anibal ruge oficina asuntos internal instala foro pena privativa liberta; j : 2973. Sim : 0.24897236; No similar. 
 educacion voz alta sabor dulce amargo calidad universidades publicas labelurl via elespectador  ; j : 2974. Sim : 0.26849675; No similar. 
 ten cuenta utilizar sello launcuenta actividades publicaciones labelurl feliz noche labelurl  ; j : 2975. Sim : 0.3494575; No similar. 
 hermanos karamasov comenzara ciclo mesita noche labelurl labelurl  ; j : 2976. Sim : 0.38375548; No similar. 
 comunidadun hoy regalale dia mas planeta acciones solucion dia tierra labelurl  ; j : 2977. Sim : 0.63164324; Baja. 
 comunidadun llega unalfest 2017 seis salas cine bogota labelurl unalfest facultadartes labelurl  ; j : 2978. Sim : 0.22645399; No similar. 
 retos desafios beneficios jurisdiccion especial paz comparte preguntas hablemosdepazur labelurl  ; j : 2979. Sim : 0.2453237; No similar. 
 descubre hacer deporte hace emprendedor mas exitoso labelurl labelurl  ; j : 2980. Sim : 0.12125401; No similar. 
 hoy sintoniza lapazenfoco programa fin conflicto 800 pm canalcapital uncolombia labelurl  ; j : 2981. Sim : 0.36765638; No similar. 
 revive entrevista preguntayamid mantillaignacio video labelurl launcuenta via labelurl  ; j : 2982. Sim : 0.28294554; No similar. 
 unperiodico articulo hielo partir sol labelurl unmedellin unimedios labelurl  ; j : 2983. Sim : 0.30599588; No similar. 
 terminar dia 150 anos uncolombia labelurl sesquicentenarioun via labelurl  ; j : 2984. Sim : 0.45291525; No similar. 
 antorcha reconciliacion manos mujeres grupos mas afectados violenci labelurl  ; j : 2985. Sim : 0.23628542; No similar. 
 orgullorosarista dr luis enrique nieto nombrado academico correspondiente academia colombiana lengu; j : 2986. Sim : 0.105399914; No similar. 
 momento celebramos unradio 25 anos labor orgulloun unradio25anos 985unradio labelurl  ; j : 2987. Sim : 0.36417028; No similar. 
 analisis sanciones contempla jurisdiccion especial paz hablemosdepazur labelurl  ; j : 2988. Sim : 0.3050226; No similar. 
 comenzamos panel invitados encuentromedios comunicacion universitaria unimedios labelurl  ; j : 2989. Sim : 0.2000117; No similar. 
 maria27nh actividades academicas administrativas mantienen normalidad cualquier novedad sera inform; j : 2990. Sim : 0.2684372; No similar. 
 rt facultadartes posgrados convocatoria facultad artes uncolombia labelurl labelurl  ; j : 2991. Sim : 0.05963324; No similar. 
 articulo unperiodico sociedad palabra labelurl marcodhes piensapazunal labelurl  ; j : 2992. Sim : 0.07185134; No similar. 
 salud primero agenda ciudadanos medellin piedad patricia restrepo comovamos  ; j : 2993. Sim : 0.26169136; No similar. 
 articulo noche herida documental herencia conflicto realizada cineastas uncolombia labelurl  ; j : 2994. Sim : 0.33761895; No similar. 
 rt cementosargos centroargosinnovacion ademas espacio integrado campus universidad labelurl  ; j : 2995. Sim : 0.18005511; No similar. 
 lecturarecomendada fin semana cuerpo femenino transicion labelurl labelurl  ; j : 2996. Sim : 0.39200643; No similar. 
 felizjueves hoy nueva entrega serie grandes maestros elespectador labelurl labelurl  ; j : 2997. Sim : 0.263457; No similar. 
 rt derechoempresa1 felizmartes invitamos participar proxima conferencia animate unisabana icetex la; j : 2998. Sim : 0.2531297; No similar. 
 985unradio celebra 25 anos conciertos plan gratis comunidadun labelurl via civicobogota unradio25an; j : 2999. Sim : 0.30092552; No similar. 
 paz colombia tendra grandes consecuencias crecimiento economico xsalaimartin economiaencolores labe; j : 3000. Sim : 0.31026432; No similar. 
 rt comsabana ahora habla siga academico unisabana reunionprofes ipfunisabana nohorapachon labelurl ; j : 3001. Sim : 0.23349825; No similar. 
 pedagogiadelosacuerdos analisis retos pais mecanismos cumpla suscrito labelurl  ; j : 3002. Sim : 0.14686775; No similar. 
 hoy tambien celebramos dia mundial propiedad intelectual feliz dia creadores labelurl  ; j : 3003. Sim : 0.4954474; No similar. 
 articulo unperiodico pacifico colombiano region construir labelurl unimedios labelurl  ; j : 3004. Sim : 0.22903611; No similar. 
 stefaniarodelo hola favor envianos mensaje directo descripcion inconvenientes datos contacto  ; j : 3005. Sim : 0.37582895; No similar. 
 convocatoria doctorados 2016 colciencias ceiba regiones labelurl labelurl  ; j : 3006. Sim : 0.028872175; No similar. 
 latinoamerica pandillas fenomeno descubrir labelurl labelurl  ; j : 3007. Sim : 0.1692034; No similar. 
 comunidadun rector mantillaignacio habla elespectador manifiesto paz labelurl  ; j : 3008. Sim : 0.21868257; No similar. 
 uncolombia siempre sido conocemos hoy conoce mas historiaun 150 anos labelurl  ; j : 3009. Sim : 0.48910245; No similar. 
 rt orgulloun obras bienal arquitectura comunidadun institucionalun labelurl  ; j : 3010. Sim : 0.07769393; No similar. 
 comunidadun partir hoy unbogota invita presentacion resultados labelurl labelurl  ; j : 3011. Sim : 0.45786816; No similar. 
 buenos dias detroit orgullo ver bandera colombia shellecomarathon2017 equip labelurl  ; j : 3012. Sim : 0.37087047; No similar. 
 gustaria estudiar pregrado musica eafit cupos disponibles 20172 ver labelurl  ; j : 3013. Sim : 0.24480237; No similar. 
 rt jrestrp felicitaciones urdiplomats sobresaliente presencia harvard hnum 2017 gracias brillo uros; j : 3014. Sim : 0.1955902; No similar. 
 vives madrid esperamos encuentrocongraduadosmadrid alumnisabana 29 marzo registrate aqui labelurl  ; j : 3015. Sim : 0.45996395; No similar. 
 conoce detalles oportunidad formar parte urrevista labelurl labelurl  ; j : 3016. Sim : 0.22360833; No similar. 
 intervencion frankpearl emociones implementacion acuerdos habana labelurl  ; j : 3017. Sim : 0.28420588; No similar. 
 comunidadun hoy invitamos conocer mas departamento geociencias unbogota video labelurl fcienciasuna; j : 3018. Sim : 0.5315384; Baja. 
 mit uniandes investigaran forma conjunta excelenciauniandes labelurl labelurl  ; j : 3019. Sim : 0.07753324; No similar. 
 rt unisabanaradio semana pasada unisabana viene unisabana radio dias cumplir 8 anos  ; j : 3020. Sim : 0.53605014; Baja. 
 noticiaun primera pruebas saber pro launcuenta orgulloun labelurl via unimedios labelurl  ; j : 3021. Sim : 0.3316647; No similar. 
 launcuenta nuevos beneficiarios peama induccion unamazonia labelurl unparatodos via labelurl  ; j : 3022. Sim : 0.16704474; No similar. 
 recomendado semana editorialeafit sabe usted capital riesgo labelurl labelurl  ; j : 3023. Sim : 0.33964023; No similar. 
 momento eafit lanzamiento coleccion editorialeafit biblioteca mario escobar velazquez labelurl  ; j : 3024. Sim : 0.26750004; No similar. 
 rt comsabana gracias colaboradores amigos ayudaron sacar adelante 13a semanacomsabana unisabana  ; j : 3025. Sim : 0.053728286; No similar. 
 launtransformavidas toda colombia san andres respira ingles uncaribe video labelurl labelurl  ; j : 3026. Sim : 0.28448087; No similar. 
 comunidadun ayudanos evaluar servicios unbogota diligenciado encuesta labelurl labelurl  ; j : 3027. Sim : 0.22646414; No similar. 
 onces almuerzo postre visite semana fopre cafe yoapoyoalfopre labelurl  ; j : 3028. Sim : 0.4677599; No similar. 
 liderandes duplico meta seran seis beneficiarios beca entrar andes retosdeldespues labelurl  ; j : 3029. Sim : 0.15112853; No similar. 
 rt alumnisabana espiritu graduados psicosabana1 jornadaactualizacionpsicologia felices ten  ; j : 3030. Sim : 0.28674734; No similar. 
 conoce mas sistema informacion academica rosarista siar labelurl labelurl  ; j : 3031. Sim : 0.2592324; No similar. 
 celebracion feliz cumpleanos juan carlos gomez labelurl  ; j : 3032. Sim : 0.39648876; No similar. 
 comunidadun miercoles ir conciertos manizales labelurl culturaun unmanizales via eltiempo  ; j : 3033. Sim : 0.4732951; No similar. 
 representacion emprendimiento colombiano mobile world congress 2017 va cuenta eafit mwc17 labelurl ; j : 3034. Sim : 0.05332686; No similar. 
 noticiaun uncolombia participo i feria internacional libro cartagena editorialun labelurl unimedios; j : 3035. Sim : 0.30303866; No similar. 
 listo cierre haymedellin17 pocos minutos crewpeligrosos estara plazoleta estudiant labelurl  ; j : 3036. Sim : 0.37344205; No similar. 
 si historias contar compartanlas hagan parte progresafenicia labelurl labelurl  ; j : 3037. Sim : 0.2155562; No similar. 
 felizjueves hoy dia pasar plaza central unbogota traer residuos posconsumo participa comunidadun  ; j : 3038. Sim : 0.5147862; Baja. 
 lazanahoriaamaribedoya16 gracias comentario cuenta feliz dia  ; j : 3039. Sim : 0.48818207; No similar. 
 rt unisabanaradio labelurl baja tension trae mejor informacion sintoniza delatardeusr musica deport; j : 3040. Sim : 0.39177188; No similar. 
 oms pide paises implementar impuestos 20 bebidas azucaradas salvar vidas sbarquera  ; j : 3041. Sim : -0.0010467164; No similar. 
 legado caldas egresado rosarista labelurl labelurl  ; j : 3042. Sim : 0.12161651; No similar. 
 comunidadun rector mantillaignacio entrevista preguntayamid video labelurl cmilanoticia launcuenta ; j : 3043. Sim : 0.278538; No similar. 
 felicidad navidad2016 unisabana labelurl  ; j : 3044. Sim : 0.08039797; No similar. 
 noticiaun uncolombia rindio cuentas gestion 2016 launcuenta labelurl labelurl  ; j : 3045. Sim : 0.34033367; No similar. 
 libros puentes siglo xix importancia desarrollo pais labelurl  ; j : 3046. Sim : 0.1933391; No similar. 
 manana estan abiertas inscripciones segundo ciclo cursos libres fceunal labelurl  ; j : 3047. Sim : 0.3127722; No similar. 
 noticiaun uncolombia mas patent invencion pais somosorgulloun sicsuper labelurl  ; j : 3048. Sim : 0.24155903; No similar. 
 nuevo articulo mantillaignacio elespectador universidad infraestructura calidad labelurl mejoracont; j : 3049. Sim : 0.19923517; No similar. 
 hablar formacion hablar empleabilidad guillermobotero fenalconacional beneficiosdelapaz  ; j : 3050. Sim : 0.19444837; No similar. 
 comunidadun continua alianza division bibliotecas unbogota biblioteca luis angel arango labelurl  ; j : 3051. Sim : 0.2895411; No similar. 
 museo arquitectura leopoldo rother patrimonio arquitectonico uncolombia video labelurl mejoracontin; j : 3052. Sim : 0.30858335; No similar. 
 firma quacquarelli symonds califico uniandes cuatro estrellas sistema medicion calidad qs star labe; j : 3053. Sim : 0.17651883; No similar. 
 educacion voz alta mejor lugar firmar paz mantillaignacio labelurl via elespectador  ; j : 3054. Sim : 0.32421485; No similar. 
 rt senekuniandes recuerda hoy puedes reclamar kit carrera participar senek indicaciones imagen labe; j : 3055. Sim : 0.33771417; No similar. 
 hoyenelrosario conferencia elecciones unidos relaciones interamericanas labelurl labelurl  ; j : 3056. Sim : 0.0064538294; No similar. 
 terminar dia nuevo programa untelevision pocas palabras diana rojas labelurl iepri uncolombia  ; j : 3057. Sim : 0.5442843; Baja. 
 comunidadun inscribete 15 enero cursos libres uamf info labelurl labelurl  ; j : 3058. Sim : 0.37079132; No similar. 
 comenzamos semana grandes noticias uncolombia mejores pruebas saber pro labelurl  ; j : 3059. Sim : 0.42992732; No similar. 
 rt cementosargos tourtuiterosabian ademas apuesta largo plazo academia alianza renovable termino  ; j : 3060. Sim : 0.24497622; No similar. 
 evolucion roles market comunicaciones carlos fernando vega director revistapym labelurl  ; j : 3061. Sim : 0.24198885; No similar. 
 faltan do dias terminen eleccioneseafit invitamos participar votaciones ver labelurl  ; j : 3062. Sim : 0.3095981; No similar. 
 rt comsabana yovuelvoacomsabana mientras evento alumnisabana escuchen endirectosabana noticias 730a; j : 3063. Sim : 0.39501113; No similar. 
 enamorateun universidad nacional colombia patrimonio colombianos sede bogota labelurl  ; j : 3064. Sim : 0.21509449; No similar. 
 coro tuna urosario homenaje colegiales labelurl  ; j : 3065. Sim : 0.06713436; No similar. 
 conoce toda informacion premio empresario colombiano ano 2016 labelurl labelurl  ; j : 3066. Sim : 0.24361528; No similar. 
 quieres saber bioquimica basica inscribete labelurl fcienciasun unbogota inicia 26 d labelurl  ; j : 3067. Sim : 0.19037195; No similar. 
 esperamos ultimos dias recitales pregrado musica 20171 mas informacion labelurl  ; j : 3068. Sim : 0.4954741; No similar. 
 comunidad acercate cultura medio oriente semana semana cine irani dreunal labelurl  ; j : 3069. Sim : 0.49023193; No similar. 
 beneficios acuerdo cooperacion exclusiva fcardioinfantil urosarionews labelurl  ; j : 3070. Sim : 0.19784862; No similar. 
 noticiaun premian compromiso calidad educativa launcuenta unmanizales labelurl via unimedios  ; j : 3071. Sim : 0.25971577; No similar. 
 hoy 300 pm inauguracion laboratorio cano museodearteun info labelurl saloncano labelurl  ; j : 3072. Sim : 0.3554478; No similar. 
 rt letigasca hoy bogota compartiendo investigacion fracaso puede impactar economia tedxudelrosario ; j : 3073. Sim : 0.3882664; No similar. 
 rt infopresidencia nacion tolerante mas incluyente paz asi describe rector jrestrp legado eduardo s; j : 3074. Sim : 0.29654017; No similar. 
 abhijit banerjee lacealames16 mejor conferencia economia latinoamericana mundo labelurl  ; j : 3075. Sim : 0.17248596; No similar. 
 noticiaun listo equipo lideres max planck colombia maxplanckpress vriun labelurl unimedios labelurl; j : 3076. Sim : 0.27198777; No similar. 
 serie grandes maestros tras huellas virginia gutierrez pineda labelurl orgulloun via elespectador  ; j : 3077. Sim : 0.23442537; No similar. 
 noticiaun otorgara cupos especiales jovenes caldas unparatodos labelurl via unimedios  ; j : 3078. Sim : 0.34068778; No similar. 
 rt obsdemocracia meinformoporlapaz debe saber procesodepaz palabras paz 20labelurl labelurl  ; j : 3079. Sim : 0.21938966; No similar. 
 noticiaun uncolombia referente gestion ambiental launcuenta catedra sesquicentenarioun unpalmira la; j : 3080. Sim : 0.3100464; No similar. 
 mejor 2016 urosario 363motivosparacelebrar labelurl labelurl  ; j : 3081. Sim : 0.10693969; No similar. 
 arte cultura ciudadana dialogomayortv pierdas proxima emision canalunoco labelurl labelurl  ; j : 3082. Sim : 0.19794945; No similar. 
 comunidadun facultadartes abre concurso profesoral 2017 proveer cargos catedra info labelurl  ; j : 3083. Sim : 0.1164856; No similar. 
 rt grupoargos tourtuitero filial cementosargos cuenta espacio especialmente disenado desarrollo pro; j : 3084. Sim : 0.0872481; No similar. 
 unperiodico especial acuerdo habana participacion politica exigira rediseno labelurl  ; j : 3085. Sim : 0.33589914; No similar. 
 ospinahuila buenos dias siguiente enlace encontrara informacion respecto labelurl  ; j : 3086. Sim : 0.46728632; No similar. 
 comunidadun motivo orgullo diariamente colombia mundo somosorgulloun labelurl  ; j : 3087. Sim : 0.34888917; No similar. 
 descubre puedes formar parte iniciativa unacartaparalapaz urosario labelurl labelurl  ; j : 3088. Sim : 0.005615565; No similar. 
 desplazamientos unbogota dias continuamos mejorando bienestar labelurl  ; j : 3089. Sim : 0.33378386; No similar. 
 chef santiago torrijos invita descubrir sabores innovacion rosariogsb labelurl  ; j : 3090. Sim : 0.12772268; No similar. 
 dagova96 problema nit universidad 8600073861 caso preguntas comentarios favor dude contactarnos  ; j : 3091. Sim : 0.19385307; No similar. 
 programateun conversatorio radio medio divulgacion ciencia hoy 400 pm 985unradio labelurl  ; j : 3092. Sim : 0.40684435; No similar. 
 rt paolamiregui alta participacion estudiantil hablemosdepazur urosarionews aportando paz labelurl ; j : 3093. Sim : 0.19068524; No similar. 
 comunidadun encuentra abierto concurso profesoral 2016 facultad ciencias humanas info labelurl  ; j : 3094. Sim : 0.15534385; No similar. 
